name,x,y
0x008d2988,18.7072696408,19.5997835268
0x008df358,18.9088774569,19.322026367
0x008edf60,17.7673265205,18.0121073821
0x008ead90,18.4873316344,17.9648631883
0x008c4840,24.2694837404,13.0614704345
0x008e98f0,24.2694837404,13.0782793543
0x008eb628,23.659096567,13.0405904129
0x008edda8,23.8116711094,13.0405904129
0x008ed510,24.2694837404,13.0614704345
0x008c38c8,18.9925155346,17.4459693581
0x008df880,24.2694837404,13.032185953
0x008e15b8,24.2694837404,13.0489936473
0x008f05c8,18.9671513153,18.0121073821
0x0089c788,18.7465638661,9.227939211980001
0x008e0118,18.7496690966,12.5184492143
0x008eea48,20.8776202211,6.20434834135
0x008cd008,20.7793873907,6.1975508564
0x008e80e0,20.7793873907,6.21114483512
0x008eec00,20.9103581321,6.20434834135
0x008eedb8,19.5724734165,12.6288996139
0x008ef9c0,18.9225172544,12.5272617529
0x008ef128,6.76803561943,18.7346544501
0x008e50c0,19.4011268909,12.5619595983
0x0089dc28,5.86450060497,18.8759389071
0x008f24c0,23.659096567,13.0107078887
0x008caf60,1.95037206362,18.7915574984
0x008cf268,1.40765322552,19.1692666873
0x008f00a0,20.7793873907,6.1975508564
0x008c9fe8,24.2694837404,13.1075638359
0x008ca880,24.2694837404,13.0907561415
0x008f1f98,20.8776202211,6.25171862431
0x008f29e8,20.9103581321,6.22803348283
0x008f0938,20.8776202211,6.22803348283
0x008c29b8,20.7793873907,6.23483096778
0x008cc248,20.7793873907,6.22123599788
0x008f1020,20.7793873907,6.25851610926
0x008f1c28,18.9925155346,17.4459693581
0x008e8ea0,20.7793873907,6.24492213054
0x008ed880,25.5439714836,11.8065258508
0x008d20f0,24.6933414711,13.0107078887
0x008f2678,19.4212544959,5.38150003318
0x008f2ba0,19.4212544959,5.31888913717
0x008f2d58,19.4212544959,5.3635327903
0x008f35f0,20.7793873907,6.23483096778
0x0089bdb8,20.7793873907,6.25851610926
0x00899528_drop-1-1,0,0
0x00899528_drop-1-2,0,0
0x00899528_drop-1-3,0,0
0x00899528_drop-1-4,0,0
0x00899528_drop-1-5,0,0
0x00899528_drop-1-6,0,0
0x00899528_drop-1-7,0,0
0x00899528_drop-1-8,0,0
0x00899528_drop-1-9,0,0
0x00899528_drop-1-10,0,0
0x00899528_drop-2-1,0,0
0x00899528_drop-2-2,0,0
